Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/19/ 00:05:33,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-3,-19,0,38,0,134,50,130,1
2022/09/19/ 00:05:33,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,-15,0,39,0,134,50,130,1
2022/09/19/ 00:05:34,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-3,-19,0,37,0,134,50,130,1
2022/09/19/ 00:05:34,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-3,-19,0,38,0,134,50,130,1
2022/09/19/ 00:05:35,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,-19,0,39,0,134,50,130,1
2022/09/19/ 00:05:35,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-3,-19,0,37,0,134,50,130,1
2022/09/19/ 00:05:36,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-3,-19,0,38,0,134,50,130,1
2022/09/19/ 00:05:36,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,-19,0,39,0,134,50,130,1
2022/09/19/ 00:05:37,+UUDF:CCF957966B2C,:CCF957966B2C,-72,-3,-19,0,37,0,134,50,130,1
2022/09/19/ 00:05:37,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-3,-19,0,38,0,134,50,130,1
2022/09/19/ 00:05:38,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-3,-19,0,39,0,134,50,130,1
2022/09/19/ 00:05:38,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-4,-24,0,38,0,134,50,130,1
2022/09/19/ 00:05:39,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-4,-24,0,39,0,134,50,130,1
2022/09/19/ 00:05:39,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-4,-24,0,37,0,134,50,130,1
2022/09/19/ 00:05:39,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-4,-24,0,38,0,134,50,130,1
2022/09/19/ 00:05:40,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-4,-24,0,39,0,134,50,130,1
2022/09/19/ 00:05:40,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-4,-24,0,37,0,134,50,130,1
2022/09/19/ 00:05:41,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-4,-24,0,38,0,134,50,130,1
2022/09/19/ 00:05:41,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-4,-24,0,39,0,134,50,130,1
2022/09/19/ 00:05:42,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-3,-24,0,37,0,134,50,130,1
2022/09/19/ 00:05:42,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-3,-24,0,38,0,134,50,130,1
2022/09/19/ 00:05:43,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-4,-24,0,39,0,134,50,130,1
2022/09/19/ 00:05:43,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-3,-24,0,37,0,134,50,130,1
2022/09/19/ 00:05:44,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-2,-24,0,38,0,134,50,130,1
2022/09/19/ 00:05:44,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,-24,0,39,0,134,50,130,1
2022/09/19/ 00:05:45,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-2,-24,0,37,0,134,50,130,1
2022/09/19/ 00:05:45,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-2,-24,0,38,0,134,50,130,1
2022/09/19/ 00:05:45,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-2,-24,0,39,0,134,50,130,1
2022/09/19/ 00:05:46,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-2,-24,0,37,0,134,50,130,1
2022/09/19/ 00:05:46,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-2,-24,0,38,0,134,50,130,1
2022/09/19/ 00:05:47,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-2,-24,0,39,0,134,50,130,1
2022/09/19/ 00:05:47,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-2,-23,0,37,0,134,50,130,1
2022/09/19/ 00:05:48,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-2,-23,0,38,0,134,50,130,1
2022/09/19/ 00:05:48,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-2,-23,0,39,0,134,50,130,1
2022/09/19/ 00:05:49,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-2,-23,0,37,0,134,50,130,1
2022/09/19/ 00:05:49,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-2,-23,0,38,0,134,50,130,1
2022/09/19/ 00:05:50,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-2,-23,0,39,0,134,50,130,1
2022/09/19/ 00:05:50,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-2,-23,0,38,0,134,50,130,1
2022/09/19/ 00:05:51,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-5,-23,0,39,0,134,50,130,1
2022/09/19/ 00:05:51,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-2,-23,0,37,0,134,50,130,1
2022/09/19/ 00:05:51,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-5,-23,0,38,0,134,50,130,1
2022/09/19/ 00:05:52,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-23,0,39,0,134,50,130,1
2022/09/19/ 00:05:52,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-5,-23,0,37,0,134,50,130,1
2022/09/19/ 00:05:53,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-5,-23,0,38,0,134,50,130,1
2022/09/19/ 00:05:53,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-5,-23,0,37,0,134,50,130,1
2022/09/19/ 00:05:54,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-5,-24,0,38,0,134,50,130,1
2022/09/19/ 00:05:54,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-23,0,39,0,134,50,130,1
2022/09/19/ 00:05:55,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-8,-23,0,37,0,134,50,130,1
2022/09/19/ 00:05:55,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-8,-23,0,38,0,134,50,130,1
2022/09/19/ 00:05:56,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-8,-23,0,39,0,134,50,130,1
2022/09/19/ 00:05:56,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-8,-23,0,37,0,134,50,130,1
2022/09/19/ 00:05:57,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-8,-23,0,38,0,134,50,130,1
2022/09/19/ 00:05:57,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-23,0,39,0,134,50,130,1
2022/09/19/ 00:05:57,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-9,-23,0,37,0,134,50,130,1
2022/09/19/ 00:05:58,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-9,-23,0,38,0,134,50,130,1
2022/09/19/ 00:05:58,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-23,0,39,0,134,50,130,1
2022/09/19/ 00:05:59,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-9,-23,0,37,0,134,50,130,1
2022/09/19/ 00:05:59,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:00,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-9,-23,0,37,0,134,50,130,1
2022/09/19/ 00:06:00,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-9,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:01,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-9,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:01,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-9,-22,0,37,0,134,50,130,1
2022/09/19/ 00:06:02,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-10,-22,0,38,0,134,50,130,1
2022/09/19/ 00:06:02,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-10,-22,0,39,0,134,50,130,1
2022/09/19/ 00:06:03,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-10,-19,0,37,0,134,50,130,1
2022/09/19/ 00:06:03,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-10,-22,0,38,0,134,50,130,1
2022/09/19/ 00:06:04,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-10,-19,0,39,0,134,50,130,1
2022/09/19/ 00:06:04,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-10,-19,0,37,0,134,50,130,1
2022/09/19/ 00:06:05,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-10,-19,0,38,0,134,50,130,1
2022/09/19/ 00:06:05,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-10,-19,0,39,0,134,50,130,1
2022/09/19/ 00:06:05,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-10,-19,0,38,0,134,50,130,1
2022/09/19/ 00:06:06,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-11,-19,0,39,0,134,50,130,1
2022/09/19/ 00:06:06,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-11,-19,0,37,0,134,50,130,1
2022/09/19/ 00:06:07,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-11,-19,0,38,0,134,50,130,1
2022/09/19/ 00:06:08,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-11,-19,0,39,0,134,50,130,1
2022/09/19/ 00:06:08,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-11,-19,0,37,0,134,50,130,1
2022/09/19/ 00:06:08,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-11,-19,0,39,0,134,50,130,1
2022/09/19/ 00:06:09,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-11,-19,0,37,0,134,50,130,1
2022/09/19/ 00:06:09,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-11,-19,0,38,0,134,50,130,1
2022/09/19/ 00:06:10,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-12,-19,0,39,0,134,50,130,1
2022/09/19/ 00:06:10,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-11,-19,0,38,0,134,50,130,1
2022/09/19/ 00:06:11,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-12,-19,0,39,0,134,50,130,1
2022/09/19/ 00:06:11,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-11,-19,0,37,0,134,50,130,1
2022/09/19/ 00:06:11,F:CCF957966B2C,:CCF957966B2C,-64,2,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:12,+UUDF:CCF957966B2C,:CCF957966B2C,-61,2,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:12,+UUDF:CCF957966B2C,:CCF957966B2C,-64,2,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:13,+UUDF:CCF957966B2C,:CCF957966B2C,-61,2,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:13,+UUDF:CCF957966B2C,:CCF957966B2C,-69,2,-23,0,37,0,134,50,130,1
2022/09/19/ 00:06:14,+UUDF:CCF957966B2C,:CCF957966B2C,-64,2,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:14,+UUDF:CCF957966B2C,:CCF957966B2C,-62,1,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:15,+UUDF:CCF957966B2C,:CCF957966B2C,-67,1,-22,0,37,0,134,50,130,1
2022/09/19/ 00:06:15,+UUDF:CCF957966B2C,:CCF957966B2C,-64,1,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:16,+UUDF:CCF957966B2C,:CCF957966B2C,-60,3,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:17,+UUDF:CCF957966B2C,:CCF957966B2C,-68,3,-23,0,37,0,134,50,130,1
2022/09/19/ 00:06:17,+UUDF:CCF957966B2C,:CCF957966B2C,-65,3,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:18,+UUDF:CCF957966B2C,:CCF957966B2C,-60,3,-22,0,39,0,134,50,130,1
2022/09/19/ 00:06:18,+UUDF:CCF957966B2C,:CCF957966B2C,-68,3,-23,0,37,0,134,50,130,1
2022/09/19/ 00:06:18,+UUDF:CCF957966B2C,:CCF957966B2C,-65,3,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:19,+UUDF:CCF957966B2C,:CCF957966B2C,-61,3,-22,0,39,0,134,50,130,1
2022/09/19/ 00:06:19,+UUDF:CCF957966B2C,:CCF957966B2C,-65,3,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:20,+UUDF:CCF957966B2C,:CCF957966B2C,-61,3,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:21,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-23,0,37,0,134,50,130,1
2022/09/19/ 00:06:21,+UUDF:CCF957966B2C,:CCF957966B2C,-65,4,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:22,+UUDF:CCF957966B2C,:CCF957966B2C,-61,4,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:22,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-23,0,37,0,134,50,130,1
2022/09/19/ 00:06:23,+UUDF:CCF957966B2C,:CCF957966B2C,-65,4,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:23,+UUDF:CCF957966B2C,:CCF957966B2C,-61,4,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:24,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-23,0,37,0,134,50,130,1
2022/09/19/ 00:06:24,+UUDF:CCF957966B2C,:CCF957966B2C,-65,4,-23,0,38,0,134,50,130,1
2022/09/19/ 00:06:24,+UUDF:CCF957966B2C,:CCF957966B2C,-61,4,-23,0,39,0,134,50,130,1
2022/09/19/ 00:06:25,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-21,0,37,0,134,50,130,1
2022/09/19/ 00:06:26,+UUDF:CCF957966B2C,:CCF957966B2C,-64,4,-21,0,38,0,134,50,130,1
2022/09/19/ 00:06:26,+UUDF:CCF957966B2C,:CCF957966B2C,-61,4,-21,0,39,0,134,50,130,1
2022/09/19/ 00:06:27,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-21,0,37,0,134,50,130,1
2022/09/19/ 00:06:27,+UUDF:CCF957966B2C,:CCF957966B2C,-64,4,-21,0,38,0,134,50,130,1
2022/09/19/ 00:06:28,+UUDF:CCF957966B2C,:CCF957966B2C,-61,4,-21,0,39,0,134,50,130,1
2022/09/19/ 00:06:28,+UUDF:CCF957966B2C,:CCF957966B2C,-68,4,-22,0,37,0,134,50,130,1
2022/09/19/ 00:06:29,+UUDF:CCF957966B2C,:CCF957966B2C,-64,4,-22,0,38,0,134,50,130,1
