,Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
20883,2022/09/23/ 15:51:32,:CCF957966B2C,-54,-3,-26,38,1.0,134,90,100,0.0
20884,2022/09/23/ 15:51:33,:CCF957966B2C,-61,-3,-26,37,1.0,134,90,100,0.0
20885,2022/09/23/ 15:51:33,:CCF957966B2C,-54,-3,-26,38,1.0,134,90,100,0.0
20886,2022/09/23/ 15:51:34,:CCF957966B2C,-65,-3,-26,37,1.0,134,90,100,0.0
20887,2022/09/23/ 15:51:34,:CCF957966B2C,-54,-3,-26,38,1.0,134,90,100,0.0
20888,2022/09/23/ 15:51:35,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20889,2022/09/23/ 15:51:36,:CCF957966B2C,-65,-2,-20,37,1.0,134,90,100,0.0
20890,2022/09/23/ 15:51:36,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20891,2022/09/23/ 15:51:37,:CCF957966B2C,-60,-2,-20,37,1.0,134,90,100,0.0
20892,2022/09/23/ 15:51:37,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20893,2022/09/23/ 15:51:37,:CCF957966B2C,-60,-2,-20,37,1.0,134,90,100,0.0
20894,2022/09/23/ 15:51:38,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20895,2022/09/23/ 15:51:38,:CCF957966B2C,-62,-2,-20,37,1.0,134,90,100,0.0
20896,2022/09/23/ 15:51:39,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20897,2022/09/23/ 15:51:40,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20898,2022/09/23/ 15:51:40,:CCF957966B2C,-65,-2,-20,37,1.0,134,90,100,0.0
20899,2022/09/23/ 15:51:41,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20900,2022/09/23/ 15:51:41,:CCF957966B2C,-62,-2,-20,37,1.0,134,90,100,0.0
20901,2022/09/23/ 15:51:42,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20902,2022/09/23/ 15:51:42,:CCF957966B2C,-58,-2,-20,37,1.0,134,90,100,0.0
20903,2022/09/23/ 15:51:42,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20904,2022/09/23/ 15:51:43,:CCF957966B2C,-61,-2,-20,37,1.0,134,90,100,0.0
20905,2022/09/23/ 15:51:44,:CCF957966B2C,-61,-2,-19,37,1.0,134,90,100,0.0
20906,2022/09/23/ 15:51:44,:CCF957966B2C,-53,-2,-26,38,1.0,134,90,100,0.0
20907,2022/09/23/ 15:51:45,:CCF957966B2C,-61,-2,-19,37,1.0,134,90,100,0.0
20908,2022/09/23/ 15:51:45,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20909,2022/09/23/ 15:51:46,:CCF957966B2C,-65,-2,-20,37,1.0,134,90,100,0.0
20910,2022/09/23/ 15:51:46,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20911,2022/09/23/ 15:51:47,:CCF957966B2C,-65,-2,-20,37,1.0,134,90,100,0.0
20912,2022/09/23/ 15:51:47,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20913,2022/09/23/ 15:51:48,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20914,2022/09/23/ 15:51:48,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20915,2022/09/23/ 15:51:49,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20916,2022/09/23/ 15:51:49,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20917,2022/09/23/ 15:51:50,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20918,2022/09/23/ 15:51:50,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20919,2022/09/23/ 15:51:51,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20920,2022/09/23/ 15:51:51,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20921,2022/09/23/ 15:51:51,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20922,2022/09/23/ 15:51:52,:CCF957966B2C,-60,-1,-21,37,1.0,134,90,100,0.0
20923,2022/09/23/ 15:51:53,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20924,2022/09/23/ 15:51:53,:CCF957966B2C,-63,-1,-21,37,1.0,134,90,100,0.0
20925,2022/09/23/ 15:51:54,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20926,2022/09/23/ 15:51:54,:CCF957966B2C,-65,-1,-21,37,1.0,134,90,100,0.0
20927,2022/09/23/ 15:51:55,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20928,2022/09/23/ 15:51:55,:CCF957966B2C,-61,-1,-21,37,1.0,134,90,100,0.0
20929,2022/09/23/ 15:51:55,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20930,2022/09/23/ 15:51:56,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20931,2022/09/23/ 15:51:57,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20932,2022/09/23/ 15:51:57,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20933,2022/09/23/ 15:51:58,:CCF957966B2C,-60,-2,-26,37,1.0,134,90,100,0.0
20934,2022/09/23/ 15:51:58,:CCF957966B2C,-53,-2,-26,38,1.0,134,90,100,0.0
20935,2022/09/23/ 15:51:59,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20936,2022/09/23/ 15:51:59,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20937,2022/09/23/ 15:52:00,:CCF957966B2C,-58,-2,-26,37,1.0,134,90,100,0.0
20938,2022/09/23/ 15:52:00,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20939,2022/09/23/ 15:52:01,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20940,2022/09/23/ 15:52:01,:CCF957966B2C,-53,-2,-26,38,1.0,134,90,100,0.0
20941,2022/09/23/ 15:52:02,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20942,2022/09/23/ 15:52:02,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20943,2022/09/23/ 15:52:03,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20944,2022/09/23/ 15:52:03,:CCF957966B2C,-53,-2,-26,38,1.0,134,90,100,0.0
20945,2022/09/23/ 15:52:04,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20946,2022/09/23/ 15:52:04,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20947,2022/09/23/ 15:52:05,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20948,2022/09/23/ 15:52:05,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20949,2022/09/23/ 15:52:06,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20950,2022/09/23/ 15:52:06,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20951,2022/09/23/ 15:52:07,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20952,2022/09/23/ 15:52:07,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20953,2022/09/23/ 15:52:08,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20954,2022/09/23/ 15:52:08,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20955,2022/09/23/ 15:52:09,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20956,2022/09/23/ 15:52:09,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20957,2022/09/23/ 15:52:10,:CCF957966B2C,-63,-2,-26,37,1.0,134,90,100,0.0
20958,2022/09/23/ 15:52:10,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20959,2022/09/23/ 15:52:11,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
20960,2022/09/23/ 15:52:11,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20961,2022/09/23/ 15:52:12,:CCF957966B2C,-61,-2,-26,37,1.0,134,90,100,0.0
20962,2022/09/23/ 15:52:12,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
20963,2022/09/23/ 15:52:13,:CCF957966B2C,-61,-2,-27,37,1.0,134,90,100,0.0
20964,2022/09/23/ 15:52:14,:CCF957966B2C,-53,-2,-27,38,1.0,134,90,100,0.0
20965,2022/09/23/ 15:52:14,:CCF957966B2C,-63,-2,-27,37,1.0,134,90,100,0.0
20966,2022/09/23/ 15:52:14,:CCF957966B2C,-54,-2,-27,38,1.0,134,90,100,0.0
20967,2022/09/23/ 15:52:15,:CCF957966B2C,-60,-2,-27,37,1.0,134,90,100,0.0
20968,2022/09/23/ 15:52:15,:CCF957966B2C,-54,-2,-27,38,1.0,134,90,100,0.0
20969,2022/09/23/ 15:52:16,:CCF957966B2C,-61,-2,-27,37,1.0,134,90,100,0.0
20970,2022/09/23/ 15:52:16,:CCF957966B2C,-54,-2,-27,38,1.0,134,90,100,0.0
20971,2022/09/23/ 15:52:17,:CCF957966B2C,-65,-1,-26,37,1.0,134,90,100,0.0
20972,2022/09/23/ 15:52:18,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20973,2022/09/23/ 15:52:18,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
20974,2022/09/23/ 15:52:19,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20975,2022/09/23/ 15:52:19,:CCF957966B2C,-62,-1,-26,37,1.0,134,90,100,0.0
20976,2022/09/23/ 15:52:19,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20977,2022/09/23/ 15:52:20,:CCF957966B2C,-59,-1,-26,37,1.0,134,90,100,0.0
20978,2022/09/23/ 15:52:20,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20979,2022/09/23/ 15:52:21,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20980,2022/09/23/ 15:52:22,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20981,2022/09/23/ 15:52:22,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20982,2022/09/23/ 15:52:23,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20983,2022/09/23/ 15:52:23,:CCF957966B2C,-53,-1,-26,38,1.0,134,90,100,0.0
20984,2022/09/23/ 15:52:24,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20985,2022/09/23/ 15:52:24,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20986,2022/09/23/ 15:52:24,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20987,2022/09/23/ 15:52:25,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20988,2022/09/23/ 15:52:26,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
20989,2022/09/23/ 15:52:26,:CCF957966B2C,-53,-1,-26,38,1.0,134,90,100,0.0
20990,2022/09/23/ 15:52:27,:CCF957966B2C,-65,-1,-26,37,1.0,134,90,100,0.0
20991,2022/09/23/ 15:52:27,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20992,2022/09/23/ 15:52:28,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
20993,2022/09/23/ 15:52:28,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20994,2022/09/23/ 15:52:29,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
20995,2022/09/23/ 15:52:29,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20996,2022/09/23/ 15:52:29,:CCF957966B2C,-61,-1,-20,37,1.0,134,90,100,0.0
20997,2022/09/23/ 15:52:30,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
20998,2022/09/23/ 15:52:30,:CCF957966B2C,-58,-1,-20,37,1.0,134,90,100,0.0
20999,2022/09/23/ 15:52:31,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21000,2022/09/23/ 15:52:31,:CCF957966B2C,-63,-1,-20,37,1.0,134,90,100,0.0
21001,2022/09/23/ 15:52:32,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21002,2022/09/23/ 15:52:32,:CCF957966B2C,-62,-1,-20,37,1.0,134,90,100,0.0
21003,2022/09/23/ 15:52:33,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21004,2022/09/23/ 15:52:33,:CCF957966B2C,-63,-1,-20,37,1.0,134,90,100,0.0
21005,2022/09/23/ 15:52:34,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
21006,2022/09/23/ 15:52:34,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21007,2022/09/23/ 15:52:35,:CCF957966B2C,-62,-1,-26,37,1.0,134,90,100,0.0
21008,2022/09/23/ 15:52:35,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21009,2022/09/23/ 15:52:36,:CCF957966B2C,-60,-1,-26,37,1.0,134,90,100,0.0
21010,2022/09/23/ 15:52:36,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21011,2022/09/23/ 15:52:37,:CCF957966B2C,-60,-1,-26,37,1.0,134,90,100,0.0
21012,2022/09/23/ 15:52:37,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21013,2022/09/23/ 15:52:38,:CCF957966B2C,-61,-1,-25,37,1.0,134,90,100,0.0
21014,2022/09/23/ 15:52:38,:CCF957966B2C,-54,-1,-25,38,1.0,134,90,100,0.0
21015,2022/09/23/ 15:52:39,:CCF957966B2C,-61,-1,-25,37,1.0,134,90,100,0.0
21016,2022/09/23/ 15:52:39,:CCF957966B2C,-54,-1,-25,38,1.0,134,90,100,0.0
21017,2022/09/23/ 15:52:40,:CCF957966B2C,-61,-1,-25,37,1.0,134,90,100,0.0
21018,2022/09/23/ 15:52:40,:CCF957966B2C,-54,-2,-25,38,1.0,134,90,100,0.0
21019,2022/09/23/ 15:52:41,:CCF957966B2C,-62,-2,-25,37,1.0,134,90,100,0.0
21020,2022/09/23/ 15:52:41,:CCF957966B2C,-54,-2,-25,38,1.0,134,90,100,0.0
21021,2022/09/23/ 15:52:42,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21022,2022/09/23/ 15:52:43,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
21023,2022/09/23/ 15:52:43,:CCF957966B2C,-54,-1,-25,38,1.0,134,90,100,0.0
21024,2022/09/23/ 15:52:43,:CCF957966B2C,-61,-1,-25,37,1.0,134,90,100,0.0
21025,2022/09/23/ 15:52:44,:CCF957966B2C,-54,-1,-25,38,1.0,134,90,100,0.0
21026,2022/09/23/ 15:52:44,:CCF957966B2C,-61,-1,-25,37,1.0,134,90,100,0.0
21027,2022/09/23/ 15:52:45,:CCF957966B2C,-54,-1,-25,38,1.0,134,90,100,0.0
21028,2022/09/23/ 15:52:45,:CCF957966B2C,-61,-1,-25,37,1.0,134,90,100,0.0
21029,2022/09/23/ 15:52:46,:CCF957966B2C,-54,-1,-25,38,1.0,134,90,100,0.0
21030,2022/09/23/ 15:52:47,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
21031,2022/09/23/ 15:52:47,:CCF957966B2C,-63,-1,-20,37,1.0,134,90,100,0.0
21032,2022/09/23/ 15:52:47,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
21033,2022/09/23/ 15:52:48,:CCF957966B2C,-61,-1,-20,37,1.0,134,90,100,0.0
21034,2022/09/23/ 15:52:48,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21035,2022/09/23/ 15:52:49,:CCF957966B2C,-61,-1,-20,37,1.0,134,90,100,0.0
21036,2022/09/23/ 15:52:49,:CCF957966B2C,-55,-1,-26,38,1.0,134,90,100,0.0
21037,2022/09/23/ 15:52:50,:CCF957966B2C,-61,-1,-20,37,1.0,134,90,100,0.0
21038,2022/09/23/ 15:52:51,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
21039,2022/09/23/ 15:52:51,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21040,2022/09/23/ 15:52:52,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21041,2022/09/23/ 15:52:52,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21042,2022/09/23/ 15:52:52,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21043,2022/09/23/ 15:52:53,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21044,2022/09/23/ 15:52:53,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
21045,2022/09/23/ 15:52:54,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21046,2022/09/23/ 15:52:54,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21047,2022/09/23/ 15:52:55,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21048,2022/09/23/ 15:52:56,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
21049,2022/09/23/ 15:52:56,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21050,2022/09/23/ 15:52:56,:CCF957966B2C,-58,-1,-26,37,1.0,134,90,100,0.0
21051,2022/09/23/ 15:52:57,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21052,2022/09/23/ 15:52:57,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21053,2022/09/23/ 15:52:58,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21054,2022/09/23/ 15:52:58,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
21055,2022/09/23/ 15:52:59,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
21056,2022/09/23/ 15:53:00,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21057,2022/09/23/ 15:53:00,:CCF957966B2C,-61,-1,-19,37,1.0,134,90,100,0.0
21058,2022/09/23/ 15:53:01,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21059,2022/09/23/ 15:53:01,:CCF957966B2C,-61,-1,-19,37,1.0,134,90,100,0.0
21060,2022/09/23/ 15:53:01,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21061,2022/09/23/ 15:53:02,:CCF957966B2C,-61,-1,-19,37,1.0,134,90,100,0.0
21062,2022/09/23/ 15:53:02,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21063,2022/09/23/ 15:53:03,:CCF957966B2C,-61,-1,-19,37,1.0,134,90,100,0.0
21064,2022/09/23/ 15:53:03,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21065,2022/09/23/ 15:53:04,:CCF957966B2C,-61,-1,-20,37,1.0,134,90,100,0.0
21066,2022/09/23/ 15:53:05,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21067,2022/09/23/ 15:53:05,:CCF957966B2C,-61,-1,-20,37,1.0,134,90,100,0.0
21068,2022/09/23/ 15:53:06,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21069,2022/09/23/ 15:53:06,:CCF957966B2C,-61,-1,-20,37,1.0,134,90,100,0.0
21070,2022/09/23/ 15:53:06,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21071,2022/09/23/ 15:53:07,:CCF957966B2C,-63,-1,-20,37,1.0,134,90,100,0.0
21072,2022/09/23/ 15:53:07,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21073,2022/09/23/ 15:53:08,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
21074,2022/09/23/ 15:53:09,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21075,2022/09/23/ 15:53:09,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21076,2022/09/23/ 15:53:10,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21077,2022/09/23/ 15:53:10,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21078,2022/09/23/ 15:53:11,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21079,2022/09/23/ 15:53:11,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21080,2022/09/23/ 15:53:11,:CCF957966B2C,-55,-1,-26,38,1.0,134,90,100,0.0
21081,2022/09/23/ 15:53:12,:CCF957966B2C,-63,-1,-27,37,1.0,134,90,100,0.0
21082,2022/09/23/ 15:53:13,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21083,2022/09/23/ 15:53:13,:CCF957966B2C,-61,-1,-27,37,1.0,134,90,100,0.0
21084,2022/09/23/ 15:53:14,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21085,2022/09/23/ 15:53:14,:CCF957966B2C,-61,-1,-27,37,1.0,134,90,100,0.0
21086,2022/09/23/ 15:53:15,:CCF957966B2C,-54,-1,-27,38,1.0,134,90,100,0.0
21087,2022/09/23/ 15:53:15,:CCF957966B2C,-63,-1,-27,37,1.0,134,90,100,0.0
21088,2022/09/23/ 15:53:15,:CCF957966B2C,-54,-1,-25,38,1.0,134,90,100,0.0
21089,2022/09/23/ 15:53:16,:CCF957966B2C,-61,-1,-25,37,1.0,134,90,100,0.0
21090,2022/09/23/ 15:53:17,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
21091,2022/09/23/ 15:53:17,:CCF957966B2C,-62,-1,-19,37,1.0,134,90,100,0.0
21092,2022/09/23/ 15:53:18,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
21093,2022/09/23/ 15:53:18,:CCF957966B2C,-63,-1,-19,37,1.0,134,90,100,0.0
21094,2022/09/23/ 15:53:19,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21095,2022/09/23/ 15:53:19,:CCF957966B2C,-63,-1,-19,37,1.0,134,90,100,0.0
21096,2022/09/23/ 15:53:19,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21097,2022/09/23/ 15:53:20,:CCF957966B2C,-63,-1,-20,37,1.0,134,90,100,0.0
21098,2022/09/23/ 15:53:20,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21099,2022/09/23/ 15:53:21,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21100,2022/09/23/ 15:53:22,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21101,2022/09/23/ 15:53:22,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21102,2022/09/23/ 15:53:23,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21103,2022/09/23/ 15:53:23,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
21104,2022/09/23/ 15:53:24,:CCF957966B2C,-55,-1,-26,38,1.0,134,90,100,0.0
21105,2022/09/23/ 15:53:24,:CCF957966B2C,-65,-1,-26,37,1.0,134,90,100,0.0
21106,2022/09/23/ 15:53:24,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21107,2022/09/23/ 15:53:25,:CCF957966B2C,-60,-1,-20,37,1.0,134,90,100,0.0
21108,2022/09/23/ 15:53:26,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
21109,2022/09/23/ 15:53:26,:CCF957966B2C,-61,-1,-20,37,1.0,134,90,100,0.0
21110,2022/09/23/ 15:53:27,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
21111,2022/09/23/ 15:53:27,:CCF957966B2C,-63,-1,-20,37,1.0,134,90,100,0.0
21112,2022/09/23/ 15:53:28,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
21113,2022/09/23/ 15:53:28,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
21114,2022/09/23/ 15:53:28,:CCF957966B2C,-54,-2,-26,38,1.0,134,90,100,0.0
21115,2022/09/23/ 15:53:29,:CCF957966B2C,-62,-2,-26,37,1.0,134,90,100,0.0
21116,2022/09/23/ 15:53:30,:CCF957966B2C,-61,-1,-26,37,1.0,134,90,100,0.0
21117,2022/09/23/ 15:53:30,:CCF957966B2C,-54,-1,-26,38,1.0,134,90,100,0.0
21118,2022/09/23/ 15:53:31,:CCF957966B2C,-63,-1,-26,37,1.0,134,90,100,0.0
21119,2022/09/23/ 15:53:31,:CCF957966B2C,-53,-1,-26,38,1.0,134,90,100,0.0
21120,2022/09/23/ 15:57:33,:CCF957966B2C,-62,-1,-19,37,0.0,134,90,100,1.0
21121,2022/09/23/ 15:57:34,:CCF957966B2C,-54,-1,-25,38,0.0,134,90,100,1.0
21122,2022/09/23/ 15:57:34,:CCF957966B2C,-62,-1,-19,37,0.0,134,90,100,1.0
21123,2022/09/23/ 15:57:35,:CCF957966B2C,-54,-1,-25,38,0.0,134,90,100,1.0
21124,2022/09/23/ 15:57:35,:CCF957966B2C,-62,-1,-19,37,0.0,134,90,100,1.0
21125,2022/09/23/ 15:57:36,:CCF957966B2C,-54,-1,-25,38,0.0,134,90,100,1.0
21126,2022/09/23/ 15:57:36,:CCF957966B2C,-65,-1,-19,37,0.0,134,90,100,1.0
21127,2022/09/23/ 15:57:36,:CCF957966B2C,-54,-1,-25,38,0.0,134,90,100,1.0
21128,2022/09/23/ 15:57:37,:CCF957966B2C,-62,-1,-19,37,0.0,134,90,100,1.0
21129,2022/09/23/ 15:57:37,:CCF957966B2C,-54,-1,-25,38,0.0,134,90,100,1.0
21130,2022/09/23/ 15:57:38,:CCF957966B2C,-62,-1,-19,37,0.0,134,90,100,1.0
21131,2022/09/23/ 15:57:38,:CCF957966B2C,-64,3,-33,37,0.0,134,90,100,1.0
