,Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
21132,2022/09/23/ 15:57:39,:CCF957966B2C,-62,5,-33,38,0.0,134,90,100,1.0
21133,2022/09/23/ 15:57:39,:CCF957966B2C,-61,5,-33,39,0.0,134,90,100,1.0
21134,2022/09/23/ 15:57:40,:CCF957966B2C,-67,6,-33,37,0.0,134,90,100,1.0
21135,2022/09/23/ 15:57:40,:CCF957966B2C,-62,8,-32,38,0.0,134,90,100,1.0
21136,2022/09/23/ 15:57:40,:CCF957966B2C,-61,8,-33,39,0.0,134,90,100,1.0
21137,2022/09/23/ 15:57:41,:CCF957966B2C,-64,11,-33,37,0.0,134,90,100,1.0
21138,2022/09/23/ 15:57:41,:CCF957966B2C,-63,11,-32,38,0.0,134,90,100,1.0
21139,2022/09/23/ 15:57:42,:CCF957966B2C,-61,12,-33,39,0.0,134,90,100,1.0
21140,2022/09/23/ 15:57:42,:CCF957966B2C,-65,12,-32,37,0.0,134,90,100,1.0
21141,2022/09/23/ 15:57:43,:CCF957966B2C,-62,13,-32,38,0.0,134,90,100,1.0
21142,2022/09/23/ 15:57:43,:CCF957966B2C,-61,13,-33,39,0.0,134,90,100,1.0
21143,2022/09/23/ 15:57:44,:CCF957966B2C,-67,13,-32,37,0.0,134,90,100,1.0
21144,2022/09/23/ 15:57:44,:CCF957966B2C,-62,13,-32,38,0.0,134,90,100,1.0
21145,2022/09/23/ 15:57:45,:CCF957966B2C,-61,14,-32,39,0.0,134,90,100,1.0
21146,2022/09/23/ 15:57:45,:CCF957966B2C,-64,14,-32,37,0.0,134,90,100,1.0
21147,2022/09/23/ 15:57:45,:CCF957966B2C,-62,14,-32,38,0.0,134,90,100,1.0
21148,2022/09/23/ 15:57:46,:CCF957966B2C,-61,14,-32,39,0.0,134,90,100,1.0
21149,2022/09/23/ 15:57:46,:CCF957966B2C,-67,15,-32,37,0.0,134,90,100,1.0
21150,2022/09/23/ 15:57:47,:CCF957966B2C,-62,15,-32,38,0.0,134,90,100,1.0
21151,2022/09/23/ 15:57:47,:CCF957966B2C,-61,15,-32,39,0.0,134,90,100,1.0
21152,2022/09/23/ 15:57:48,:CCF957966B2C,-64,15,-32,37,0.0,134,90,100,1.0
21153,2022/09/23/ 15:57:48,:CCF957966B2C,-63,15,-32,38,0.0,134,90,100,1.0
21154,2022/09/23/ 15:57:49,:CCF957966B2C,-61,15,-32,39,0.0,134,90,100,1.0
21155,2022/09/23/ 15:57:49,:CCF957966B2C,-65,15,-32,37,0.0,134,90,100,1.0
21156,2022/09/23/ 15:57:49,:CCF957966B2C,-62,15,-32,38,0.0,134,90,100,1.0
21157,2022/09/23/ 15:57:50,:CCF957966B2C,-61,15,-32,39,0.0,134,90,100,1.0
21158,2022/09/23/ 15:57:50,:CCF957966B2C,-64,15,-33,37,0.0,134,90,100,1.0
21159,2022/09/23/ 15:57:51,:CCF957966B2C,-61,15,-33,39,0.0,134,90,100,1.0
21160,2022/09/23/ 15:57:51,:CCF957966B2C,-64,15,-33,37,0.0,134,90,100,1.0
21161,2022/09/23/ 15:57:52,:CCF957966B2C,-63,15,-33,38,0.0,134,90,100,1.0
21162,2022/09/23/ 15:57:52,:CCF957966B2C,-61,15,-33,39,0.0,134,90,100,1.0
21163,2022/09/23/ 15:57:53,:CCF957966B2C,-67,15,-33,37,0.0,134,90,100,1.0
21164,2022/09/23/ 15:57:53,:CCF957966B2C,-61,15,-33,39,0.0,134,90,100,1.0
21165,2022/09/23/ 15:57:54,:CCF957966B2C,-64,15,-34,37,0.0,134,90,100,1.0
21166,2022/09/23/ 15:57:54,:CCF957966B2C,-63,15,-33,38,0.0,134,90,100,1.0
21167,2022/09/23/ 15:57:54,:CCF957966B2C,-61,15,-34,39,0.0,134,90,100,1.0
21168,2022/09/23/ 15:57:55,:CCF957966B2C,-64,15,-34,37,0.0,134,90,100,1.0
21169,2022/09/23/ 15:57:55,:CCF957966B2C,-63,15,-34,38,0.0,134,90,100,1.0
21170,2022/09/23/ 15:57:56,:CCF957966B2C,-61,15,-34,39,0.0,134,90,100,1.0
21171,2022/09/23/ 15:57:56,:CCF957966B2C,-64,15,-34,37,0.0,134,90,100,1.0
21172,2022/09/23/ 15:57:57,:CCF957966B2C,-61,15,-34,39,0.0,134,90,100,1.0
21173,2022/09/23/ 15:57:57,:CCF957966B2C,-64,15,-34,37,0.0,134,90,100,1.0
21174,2022/09/23/ 15:57:58,:CCF957966B2C,-63,15,-34,38,0.0,134,90,100,1.0
21175,2022/09/23/ 15:57:58,:CCF957966B2C,-61,15,-34,39,0.0,134,90,100,1.0
21176,2022/09/23/ 15:57:59,:CCF957966B2C,-64,16,-34,37,0.0,134,90,100,1.0
21177,2022/09/23/ 15:57:59,:CCF957966B2C,-63,16,-34,38,0.0,134,90,100,1.0
21178,2022/09/23/ 15:57:59,:CCF957966B2C,-61,16,-34,39,0.0,134,90,100,1.0
21179,2022/09/23/ 15:58:00,:CCF957966B2C,-64,16,-34,37,0.0,134,90,100,1.0
21180,2022/09/23/ 15:58:00,:CCF957966B2C,-63,16,-34,38,0.0,134,90,100,1.0
21181,2022/09/23/ 15:58:01,:CCF957966B2C,-61,16,-34,39,0.0,134,90,100,1.0
21182,2022/09/23/ 15:58:01,:CCF957966B2C,-65,16,-34,37,0.0,134,90,100,1.0
21183,2022/09/23/ 15:58:02,:CCF957966B2C,-63,16,-34,38,0.0,134,90,100,1.0
21184,2022/09/23/ 15:58:02,:CCF957966B2C,-61,16,-34,39,0.0,134,90,100,1.0
21185,2022/09/23/ 15:58:03,:CCF957966B2C,-64,16,-34,37,0.0,134,90,100,1.0
21186,2022/09/23/ 15:58:03,:CCF957966B2C,-63,17,-34,38,0.0,134,90,100,1.0
21187,2022/09/23/ 15:58:03,:CCF957966B2C,-61,18,-34,39,0.0,134,90,100,1.0
21188,2022/09/23/ 15:58:04,:CCF957966B2C,-64,18,-34,37,0.0,134,90,100,1.0
21189,2022/09/23/ 15:58:04,:CCF957966B2C,-63,18,-34,38,0.0,134,90,100,1.0
21190,2022/09/23/ 15:58:05,:CCF957966B2C,-61,18,-34,39,0.0,134,90,100,1.0
21191,2022/09/23/ 15:58:05,:CCF957966B2C,-64,18,-34,37,0.0,134,90,100,1.0
21192,2022/09/23/ 15:58:06,:CCF957966B2C,-63,18,-33,38,0.0,134,90,100,1.0
21193,2022/09/23/ 15:58:06,:CCF957966B2C,-61,18,-33,39,0.0,134,90,100,1.0
21194,2022/09/23/ 15:58:06,:CCF957966B2C,-67,18,-33,37,0.0,134,90,100,1.0
21195,2022/09/23/ 15:58:07,:CCF957966B2C,-63,19,-33,38,0.0,134,90,100,1.0
21196,2022/09/23/ 15:58:08,:CCF957966B2C,-64,19,-33,37,0.0,134,90,100,1.0
21197,2022/09/23/ 15:58:08,:CCF957966B2C,-63,19,-33,38,0.0,134,90,100,1.0
21198,2022/09/23/ 15:58:09,:CCF957966B2C,-60,19,-33,39,0.0,134,90,100,1.0
21199,2022/09/23/ 15:58:09,:CCF957966B2C,-64,19,-33,37,0.0,134,90,100,1.0
21200,2022/09/23/ 15:58:10,:CCF957966B2C,-63,19,-33,38,0.0,134,90,100,1.0
21201,2022/09/23/ 15:58:10,:CCF957966B2C,-60,19,-33,39,0.0,134,90,100,1.0
21202,2022/09/23/ 15:58:11,:CCF957966B2C,-64,19,-33,37,0.0,134,90,100,1.0
21203,2022/09/23/ 15:58:11,:CCF957966B2C,-63,19,-33,38,0.0,134,90,100,1.0
21204,2022/09/23/ 15:58:12,:CCF957966B2C,-61,11,-34,39,0.0,134,90,100,1.0
21205,2022/09/23/ 15:58:12,:CCF957966B2C,-64,11,-34,37,0.0,134,90,100,1.0
21206,2022/09/23/ 15:58:13,:CCF957966B2C,-64,11,-34,38,0.0,134,90,100,1.0
21207,2022/09/23/ 15:58:13,:CCF957966B2C,-62,11,-34,39,0.0,134,90,100,1.0
21208,2022/09/23/ 15:58:14,:CCF957966B2C,-63,11,-34,37,0.0,134,90,100,1.0
21209,2022/09/23/ 15:58:14,:CCF957966B2C,-64,11,-34,38,0.0,134,90,100,1.0
21210,2022/09/23/ 15:58:15,:CCF957966B2C,-61,11,-34,39,0.0,134,90,100,1.0
21211,2022/09/23/ 15:58:15,:CCF957966B2C,-67,11,-34,37,0.0,134,90,100,1.0
21212,2022/09/23/ 15:58:16,:CCF957966B2C,-64,12,-34,38,0.0,134,90,100,1.0

21213,2022/09/23/ 15:58:17,:CCF957966B2C,-64,9,-34,38,0.0,134,90,100,1.0

21214,2022/09/23/ 15:58:17,:CCF957966B2C,-63,9,-34,39,0.0,134,90,100,1.0

21215,2022/09/23/ 15:58:17,:CCF957966B2C,-67,9,-34,37,0.0,134,90,100,1.0
21216,2022/09/23/ 15:58:18,:CCF957966B2C,-64,10,-34,38,0.0,134,90,100,1.0
21217,2022/09/23/ 15:58:18,:CCF957966B2C,-63,10,-34,39,0.0,134,90,100,1.0
21218,2022/09/23/ 15:58:19,:CCF957966B2C,-64,10,-34,37,0.0,134,90,100,1.0
21219,2022/09/23/ 15:58:19,:CCF957966B2C,-64,10,-34,38,0.0,134,90,100,1.0
21220,2022/09/23/ 15:58:20,:CCF957966B2C,-62,10,-34,39,0.0,134,90,100,1.0

21221,2022/09/23/ 15:58:21,:CCF957966B2C,-67,8,-33,37,0.0,134,90,100,1.0

21222,2022/09/23/ 15:58:21,:CCF957966B2C,-64,9,-33,38,0.0,134,90,100,1.0
21223,2022/09/23/ 15:58:22,:CCF957966B2C,-63,10,-33,39,0.0,134,90,100,1.0

21224,2022/09/23/ 15:58:22,:CCF957966B2C,-64,9,-33,37,0.0,134,90,100,1.0

21225,2022/09/23/ 15:58:22,:CCF957966B2C,-65,9,-33,38,0.0,134,90,100,1.0

21226,2022/09/23/ 15:58:23,:CCF957966B2C,-65,9,-34,39,0.0,134,90,100,1.0

21227,2022/09/23/ 15:58:23,:CCF957966B2C,-64,9,-34,37,0.0,134,90,100,1.0
21228,2022/09/23/ 15:58:24,:CCF957966B2C,-65,10,-34,38,0.0,134,90,100,1.0
21229,2022/09/23/ 15:58:24,:CCF957966B2C,-62,10,-34,39,0.0,134,90,100,1.0

21230,2022/09/23/ 15:58:25,:CCF957966B2C,-65,8,-34,38,0.0,134,90,100,1.0

21231,2022/09/23/ 15:58:26,:CCF957966B2C,-65,8,-34,39,0.0,134,90,100,1.0

21232,2022/09/23/ 15:58:26,:CCF957966B2C,-64,8,-34,37,0.0,134,90,100,1.0

21233,2022/09/23/ 15:58:26,:CCF957966B2C,-62,8,-34,39,0.0,134,90,100,1.0

21234,2022/09/23/ 15:58:27,:CCF957966B2C,-64,8,-34,37,0.0,134,90,100,1.0

21235,2022/09/23/ 15:58:27,:CCF957966B2C,-65,8,-34,38,0.0,134,90,100,1.0

21236,2022/09/23/ 15:58:28,:CCF957966B2C,-65,8,-34,39,0.0,134,90,100,1.0

21237,2022/09/23/ 15:58:28,:CCF957966B2C,-64,8,-34,37,0.0,134,90,100,1.0

21238,2022/09/23/ 15:58:29,:CCF957966B2C,-65,8,-34,37,0.0,134,90,100,1.0

21239,2022/09/23/ 15:58:30,:CCF957966B2C,-64,8,-34,38,0.0,134,90,100,1.0

21240,2022/09/23/ 15:58:30,:CCF957966B2C,-62,8,-34,39,0.0,134,90,100,1.0

21241,2022/09/23/ 15:58:31,:CCF957966B2C,-64,8,-34,37,0.0,134,90,100,1.0

21242,2022/09/23/ 15:58:31,:CCF957966B2C,-65,8,-34,38,0.0,134,90,100,1.0

21243,2022/09/23/ 15:58:31,:CCF957966B2C,-65,8,-34,39,0.0,134,90,100,1.0

21244,2022/09/23/ 15:58:32,:CCF957966B2C,-64,8,-34,37,0.0,134,90,100,1.0

21245,2022/09/23/ 15:58:32,:CCF957966B2C,-65,8,-34,38,0.0,134,90,100,1.0

21246,2022/09/23/ 15:58:33,:CCF957966B2C,-62,8,-34,39,0.0,134,90,100,1.0

21247,2022/09/23/ 15:58:34,:CCF957966B2C,-65,8,-34,37,0.0,134,90,100,1.0

21248,2022/09/23/ 15:58:34,:CCF957966B2C,-65,9,-34,38,0.0,134,90,100,1.0

21249,2022/09/23/ 15:58:35,:CCF957966B2C,-62,9,-35,39,0.0,134,90,100,1.0

21250,2022/09/23/ 15:58:35,:CCF957966B2C,-64,9,-34,37,0.0,134,90,100,1.0

21251,2022/09/23/ 15:58:36,:CCF957966B2C,-65,9,-34,38,0.0,134,90,100,1.0

21252,2022/09/23/ 15:58:36,:CCF957966B2C,-62,9,-34,39,0.0,134,90,100,1.0

21253,2022/09/23/ 15:58:36,:CCF957966B2C,-64,9,-34,37,0.0,134,90,100,1.0

21254,2022/09/23/ 15:58:37,:CCF957966B2C,-65,9,-34,38,0.0,134,90,100,1.0

21255,2022/09/23/ 15:58:37,:CCF957966B2C,-63,9,-34,39,0.0,134,90,100,1.0

21256,2022/09/23/ 15:58:38,:CCF957966B2C,-67,9,-35,37,0.0,134,90,100,1.0

21257,2022/09/23/ 15:58:39,:CCF957966B2C,-65,9,-35,38,0.0,134,90,100,1.0

21258,2022/09/23/ 15:58:39,:CCF957966B2C,-62,9,-35,39,0.0,134,90,100,1.0

21259,2022/09/23/ 15:58:40,:CCF957966B2C,-64,9,-35,37,0.0,134,90,100,1.0

21260,2022/09/23/ 15:58:40,:CCF957966B2C,-65,9,-35,38,0.0,134,90,100,1.0

21261,2022/09/23/ 15:58:41,:CCF957966B2C,-64,9,-35,39,0.0,134,90,100,1.0

21262,2022/09/23/ 15:58:41,:CCF957966B2C,-67,9,-35,37,0.0,134,90,100,1.0

21263,2022/09/23/ 15:58:41,:CCF957966B2C,-65,9,-35,38,0.0,134,90,100,1.0

21264,2022/09/23/ 15:58:42,:CCF957966B2C,-63,9,-35,39,0.0,134,90,100,1.0
21265,2022/09/23/ 15:58:43,:CCF957966B2C,-62,10,-35,39,0.0,134,90,100,1.0
21266,2022/09/23/ 15:58:43,:CCF957966B2C,-65,10,-35,37,0.0,134,90,100,1.0
21267,2022/09/23/ 15:58:44,:CCF957966B2C,-65,10,-35,38,0.0,134,90,100,1.0
21268,2022/09/23/ 15:58:44,:CCF957966B2C,-62,10,-35,39,0.0,134,90,100,1.0
21269,2022/09/23/ 15:58:45,:CCF957966B2C,-64,10,-35,37,0.0,134,90,100,1.0
21270,2022/09/23/ 15:58:45,:CCF957966B2C,-65,10,-35,38,0.0,134,90,100,1.0
21271,2022/09/23/ 15:58:46,:CCF957966B2C,-62,10,-35,39,0.0,134,90,100,1.0
21272,2022/09/23/ 15:58:46,:CCF957966B2C,-67,10,-35,37,0.0,134,90,100,1.0
21273,2022/09/23/ 15:58:46,:CCF957966B2C,-65,10,-35,38,0.0,134,90,100,1.0

21274,2022/09/23/ 15:58:47,:CCF957966B2C,-62,9,-35,39,0.0,134,90,100,1.0

21275,2022/09/23/ 15:58:48,:CCF957966B2C,-64,9,-35,37,0.0,134,90,100,1.0

21276,2022/09/23/ 15:58:48,:CCF957966B2C,-65,9,-35,38,0.0,134,90,100,1.0

21277,2022/09/23/ 15:58:49,:CCF957966B2C,-62,9,-35,39,0.0,134,90,100,1.0

21278,2022/09/23/ 15:58:49,:CCF957966B2C,-64,8,-35,37,0.0,134,90,100,1.0

21279,2022/09/23/ 15:58:50,:CCF957966B2C,-65,9,-35,38,0.0,134,90,100,1.0

21280,2022/09/23/ 15:58:50,:CCF957966B2C,-62,9,-35,39,0.0,134,90,100,1.0

21281,2022/09/23/ 15:58:51,:CCF957966B2C,-64,8,-35,37,0.0,134,90,100,1.0

21282,2022/09/23/ 15:58:51,:CCF957966B2C,-64,8,-35,37,0.0,134,90,100,1.0

21283,2022/09/23/ 15:58:52,:CCF957966B2C,-65,8,-35,38,0.0,134,90,100,1.0

21284,2022/09/23/ 15:58:52,:CCF957966B2C,-62,8,-35,39,0.0,134,90,100,1.0

21285,2022/09/23/ 15:58:53,:CCF957966B2C,-64,8,-35,37,0.0,134,90,100,1.0

21286,2022/09/23/ 15:58:53,:CCF957966B2C,-65,9,-35,38,0.0,134,90,100,1.0

21287,2022/09/23/ 15:58:54,:CCF957966B2C,-62,9,-35,39,0.0,134,90,100,1.0

21288,2022/09/23/ 15:58:54,:CCF957966B2C,-69,9,-35,37,0.0,134,90,100,1.0

21289,2022/09/23/ 15:58:55,:CCF957966B2C,-65,9,-35,38,0.0,134,90,100,1.0

21290,2022/09/23/ 15:58:55,:CCF957966B2C,-62,9,-35,39,0.0,134,90,100,1.0
21291,2022/09/23/ 15:58:56,:CCF957966B2C,-62,11,-36,39,0.0,134,90,100,1.0
21292,2022/09/23/ 15:58:56,:CCF957966B2C,-64,10,-36,37,0.0,134,90,100,1.0
21293,2022/09/23/ 15:58:57,:CCF957966B2C,-64,11,-36,38,0.0,134,90,100,1.0
21294,2022/09/23/ 15:58:57,:CCF957966B2C,-63,12,-36,39,0.0,134,90,100,1.0
21295,2022/09/23/ 15:58:58,:CCF957966B2C,-64,10,-36,37,0.0,134,90,100,1.0
21296,2022/09/23/ 15:58:58,:CCF957966B2C,-65,12,-36,38,0.0,134,90,100,1.0
21297,2022/09/23/ 15:58:59,:CCF957966B2C,-62,12,-36,39,0.0,134,90,100,1.0
21298,2022/09/23/ 15:58:59,:CCF957966B2C,-67,12,-36,37,0.0,134,90,100,1.0
21299,2022/09/23/ 15:59:00,:CCF957966B2C,-64,12,-36,38,0.0,134,90,100,1.0
21300,2022/09/23/ 15:59:00,:CCF957966B2C,-64,11,-35,37,0.0,134,90,100,1.0
21301,2022/09/23/ 15:59:01,:CCF957966B2C,-65,11,-35,38,0.0,134,90,100,1.0
21302,2022/09/23/ 15:59:01,:CCF957966B2C,-62,11,-35,39,0.0,134,90,100,1.0
21303,2022/09/23/ 15:59:01,:CCF957966B2C,-64,11,-36,37,0.0,134,90,100,1.0
21304,2022/09/23/ 15:59:02,:CCF957966B2C,-65,11,-36,38,0.0,134,90,100,1.0
21305,2022/09/23/ 15:59:02,:CCF957966B2C,-61,11,-36,39,0.0,134,90,100,1.0
21306,2022/09/23/ 15:59:03,:CCF957966B2C,-64,11,-36,37,0.0,134,90,100,1.0
21307,2022/09/23/ 15:59:03,:CCF957966B2C,-65,11,-36,38,0.0,134,90,100,1.0
21308,2022/09/23/ 15:59:04,:CCF957966B2C,-62,11,-36,39,0.0,134,90,100,1.0
21309,2022/09/23/ 15:59:05,:CCF957966B2C,-65,10,-35,38,0.0,134,90,100,1.0
21310,2022/09/23/ 15:59:05,:CCF957966B2C,-61,10,-35,39,0.0,134,90,100,1.0
21311,2022/09/23/ 15:59:05,:CCF957966B2C,-65,10,-35,37,0.0,134,90,100,1.0
21312,2022/09/23/ 15:59:06,:CCF957966B2C,-65,10,-35,38,0.0,134,90,100,1.0
21313,2022/09/23/ 15:59:06,:CCF957966B2C,-61,10,-35,39,0.0,134,90,100,1.0
21314,2022/09/23/ 15:59:07,:CCF957966B2C,-64,10,-35,37,0.0,134,90,100,1.0
21315,2022/09/23/ 15:59:07,:CCF957966B2C,-65,10,-35,38,0.0,134,90,100,1.0
21316,2022/09/23/ 15:59:08,:CCF957966B2C,-61,10,-35,39,0.0,134,90,100,1.0
21317,2022/09/23/ 15:59:08,:CCF957966B2C,-64,10,-36,38,0.0,134,90,100,1.0
21318,2022/09/23/ 15:59:09,:CCF957966B2C,-61,10,-37,39,0.0,134,90,100,1.0
21319,2022/09/23/ 15:59:09,:CCF957966B2C,-64,10,-36,37,0.0,134,90,100,1.0
21320,2022/09/23/ 15:59:10,:CCF957966B2C,-65,10,-36,38,0.0,134,90,100,1.0
21321,2022/09/23/ 15:59:10,:CCF957966B2C,-61,11,-36,39,0.0,134,90,100,1.0
21322,2022/09/23/ 15:59:11,:CCF957966B2C,-65,10,-36,37,0.0,134,90,100,1.0
21323,2022/09/23/ 15:59:11,:CCF957966B2C,-65,10,-36,38,0.0,134,90,100,1.0
21324,2022/09/23/ 15:59:12,:CCF957966B2C,-61,10,-36,39,0.0,134,90,100,1.0
21325,2022/09/23/ 15:59:12,:CCF957966B2C,-65,10,-36,37,0.0,134,90,100,1.0
21326,2022/09/23/ 15:59:13,:CCF957966B2C,-64,11,-36,37,0.0,134,90,100,1.0
21327,2022/09/23/ 15:59:13,:CCF957966B2C,-64,11,-36,38,0.0,134,90,100,1.0
21328,2022/09/23/ 15:59:14,:CCF957966B2C,-62,11,-36,39,0.0,134,90,100,1.0
21329,2022/09/23/ 15:59:14,:CCF957966B2C,-64,11,-36,37,0.0,134,90,100,1.0
21330,2022/09/23/ 15:59:15,:CCF957966B2C,-65,11,-36,38,0.0,134,90,100,1.0
21331,2022/09/23/ 15:59:15,:CCF957966B2C,-61,11,-36,39,0.0,134,90,100,1.0
21332,2022/09/23/ 15:59:16,:CCF957966B2C,-64,11,-36,37,0.0,134,90,100,1.0
21333,2022/09/23/ 15:59:16,:CCF957966B2C,-65,11,-36,38,0.0,134,90,100,1.0
21334,2022/09/23/ 15:59:17,:CCF957966B2C,-62,11,-36,39,0.0,134,90,100,1.0
21335,2022/09/23/ 15:59:17,:CCF957966B2C,-64,11,-35,37,0.0,134,90,100,1.0
21336,2022/09/23/ 15:59:18,:CCF957966B2C,-65,11,-35,38,0.0,134,90,100,1.0
21337,2022/09/23/ 15:59:18,:CCF957966B2C,-62,11,-35,39,0.0,134,90,100,1.0
21338,2022/09/23/ 15:59:19,:CCF957966B2C,-64,11,-35,37,0.0,134,90,100,1.0
21339,2022/09/23/ 15:59:19,:CCF957966B2C,-65,11,-35,38,0.0,134,90,100,1.0
21340,2022/09/23/ 15:59:20,:CCF957966B2C,-62,11,-35,39,0.0,134,90,100,1.0
21341,2022/09/23/ 15:59:20,:CCF957966B2C,-65,11,-35,37,0.0,134,90,100,1.0
21342,2022/09/23/ 15:59:21,:CCF957966B2C,-65,11,-35,38,0.0,134,90,100,1.0
21343,2022/09/23/ 15:59:21,:CCF957966B2C,-65,12,-36,38,0.0,134,90,100,1.0
21344,2022/09/23/ 15:59:22,:CCF957966B2C,-62,12,-36,39,0.0,134,90,100,1.0
21345,2022/09/23/ 15:59:22,:CCF957966B2C,-64,12,-36,37,0.0,134,90,100,1.0
21346,2022/09/23/ 15:59:23,:CCF957966B2C,-65,12,-36,38,0.0,134,90,100,1.0
21347,2022/09/23/ 15:59:23,:CCF957966B2C,-62,12,-36,39,0.0,134,90,100,1.0
21348,2022/09/23/ 15:59:24,:CCF957966B2C,-67,12,-36,37,0.0,134,90,100,1.0
21349,2022/09/23/ 15:59:24,:CCF957966B2C,-65,12,-36,38,0.0,134,90,100,1.0
21350,2022/09/23/ 15:59:25,:CCF957966B2C,-62,12,-36,39,0.0,134,90,100,1.0

21351,2022/09/23/ 15:59:25,:CCF957966B2C,-65,9,-36,38,0.0,134,90,100,1.0

21352,2022/09/23/ 15:59:26,:CCF957966B2C,-61,9,-36,39,0.0,134,90,100,1.0

21353,2022/09/23/ 15:59:26,:CCF957966B2C,-64,9,-36,37,0.0,134,90,100,1.0

21354,2022/09/23/ 15:59:27,:CCF957966B2C,-65,9,-36,38,0.0,134,90,100,1.0

21355,2022/09/23/ 15:59:27,:CCF957966B2C,-61,9,-36,39,0.0,134,90,100,1.0

21356,2022/09/23/ 15:59:28,:CCF957966B2C,-64,9,-36,37,0.0,134,90,100,1.0

21357,2022/09/23/ 15:59:28,:CCF957966B2C,-65,9,-36,38,0.0,134,90,100,1.0

21358,2022/09/23/ 15:59:29,:CCF957966B2C,-62,9,-36,39,0.0,134,90,100,1.0

21359,2022/09/23/ 15:59:29,:CCF957966B2C,-64,9,-35,37,0.0,134,90,100,1.0
21360,2022/09/23/ 15:59:30,:CCF957966B2C,-62,10,-36,39,0.0,134,90,100,1.0
21361,2022/09/23/ 15:59:30,:CCF957966B2C,-64,10,-36,37,0.0,134,90,100,1.0
21362,2022/09/23/ 15:59:31,:CCF957966B2C,-65,10,-36,38,0.0,134,90,100,1.0
21363,2022/09/23/ 15:59:31,:CCF957966B2C,-61,10,-36,39,0.0,134,90,100,1.0
21364,2022/09/23/ 15:59:32,:CCF957966B2C,-64,10,-36,37,0.0,134,90,100,1.0
21365,2022/09/23/ 15:59:32,:CCF957966B2C,-65,10,-36,38,0.0,134,90,100,1.0
21366,2022/09/23/ 15:59:33,:CCF957966B2C,-62,10,-36,39,0.0,134,90,100,1.0
21367,2022/09/23/ 15:59:33,:CCF957966B2C,-64,10,-36,37,0.0,134,90,100,1.0
21368,2022/09/23/ 15:59:33,:CCF957966B2C,-65,10,-36,38,0.0,134,90,100,1.0
21369,2022/09/23/ 15:59:34,:CCF957966B2C,-62,11,-36,39,0.0,134,90,100,1.0
21370,2022/09/23/ 15:59:35,:CCF957966B2C,-67,11,-36,37,0.0,134,90,100,1.0
21371,2022/09/23/ 15:59:35,:CCF957966B2C,-64,11,-36,38,0.0,134,90,100,1.0
21372,2022/09/23/ 15:59:36,:CCF957966B2C,-62,11,-36,39,0.0,134,90,100,1.0
21373,2022/09/23/ 15:59:36,:CCF957966B2C,-64,11,-36,37,0.0,134,90,100,1.0
21374,2022/09/23/ 15:59:37,:CCF957966B2C,-64,11,-36,38,0.0,134,90,100,1.0
21375,2022/09/23/ 15:59:37,:CCF957966B2C,-61,11,-36,39,0.0,134,90,100,1.0
21376,2022/09/23/ 15:59:38,:CCF957966B2C,-64,11,-36,37,0.0,134,90,100,1.0
21377,2022/09/23/ 15:59:38,:CCF957966B2C,-65,11,-36,38,0.0,134,90,100,1.0
21378,2022/09/23/ 15:59:39,:CCF957966B2C,-62,11,-36,39,0.0,134,90,100,1.0
21379,2022/09/23/ 15:59:39,:CCF957966B2C,-64,11,-36,37,0.0,134,90,100,1.0
21380,2022/09/23/ 15:59:40,:CCF957966B2C,-65,10,-36,38,0.0,134,90,100,1.0
21381,2022/09/23/ 15:59:40,:CCF957966B2C,-61,10,-36,39,0.0,134,90,100,1.0
21382,2022/09/23/ 15:59:41,:CCF957966B2C,-64,10,-36,37,0.0,134,90,100,1.0
21383,2022/09/23/ 15:59:41,:CCF957966B2C,-65,10,-36,38,0.0,134,90,100,1.0